yuan,#genre#
兵团卫视,http://wfenf.x3322.net:7788/956923145
宁夏卫视,http://wfenf.x3322.net:7788/738910535
重庆卫视,http://wfenf.x3322.net:7788/738910914
三沙卫视,http://wfenf.x3322.net:7788/961023778
上海新闻综合,http://wfenf.x3322.net:7788/651632657
上视东方影视,http://wfenf.x3322.net:7788/617290047
上海第一财经,http://wfenf.x3322.net:7788/608780988
南京新闻综合频道,http://wfenf.x3322.net:7788/838109047
南京教科频道,http://wfenf.x3322.net:7788/838153729
南京十八频道,http://wfenf.x3322.net:7788/838151753
体育休闲频道,http://wfenf.x3322.net:7788/626064707
江苏城市频道,http://wfenf.x3322.net:7788/626064714
江苏国际,http://wfenf.x3322.net:7788/626064674
江苏教育,http://wfenf.x3322.net:7788/628008321
江苏影视频道,http://wfenf.x3322.net:7788/626064697
江苏综艺频道,http://wfenf.x3322.net:7788/626065193
公共新闻频道,http://wfenf.x3322.net:7788/626064693
盐城新闻综合,http://wfenf.x3322.net:7788/639731825
淮安新闻综合,http://wfenf.x3322.net:7788/639731826
泰州新闻综合,http://wfenf.x3322.net:7788/639731818
连云港新闻综合,http://wfenf.x3322.net:7788/639731715
宿迁新闻综合,http://wfenf.x3322.net:7788/639731832
徐州新闻综合,http://wfenf.x3322.net:7788/639731747
优漫卡通频道,http://wfenf.x3322.net:7788/626064703
江阴新闻综合,http://wfenf.x3322.net:7788/955227979
南通新闻综合,http://wfenf.x3322.net:7788/955227985
宜兴新闻综合,http://wfenf.x3322.net:7788/955227996
溧水新闻综合,http://wfenf.x3322.net:7788/639737327
陕西银龄频道,http://wfenf.x3322.net:7788/956909362
陕西都市青春频道,http://wfenf.x3322.net:7788/956909358
陕西秦腔频道,http://wfenf.x3322.net:7788/956909303
陕西新闻资讯频道,http://wfenf.x3322.net:7788/956909289
财富天下,http://wfenf.x3322.net:7788/956923159
镇江新闻综合,http://wfenf.x3322.net:7788/639731783
海南广播电视总台新闻频道,http://wfenf.x3322.net:7788/962067517
海南广播电视总台自贸频道,http://wfenf.x3322.net:7788/962045226
海南广播电视总台社会与法频道,http://wfenf.x3322.net:7788/962045223
海南广播电视总台文旅频道,http://wfenf.x3322.net:7788/962067526
CCTV1,http://222.134.19.49:8090/608807420
CCTV2,http://222.134.19.49:8090/631780532
CCTV3,http://222.134.19.49:8090/624878271
CCTV4,http://222.134.19.49:8090/631780421
CCTV5,http://222.134.19.49:8090/641886683
CCTV5+,http://222.134.19.49:8090/641886773
CCTV6,http://222.134.19.49:8090/624878396
CCTV7,http://222.134.19.49:8090/673168121
CCTV8,http://222.134.19.49:8090/624878356
CCTV9,http://222.134.19.49:8090/673168140
CCTV10,http://222.134.19.49:8090/624878405
CCTV11,http://222.134.19.49:8090/667987558
CCTV12,http://222.134.19.49:8090/673168185
CCTV13,http://222.134.19.49:8090/608807423
CCTV14,http://222.134.19.49:8090/624878440
CCTV15,http://222.134.19.49:8090/673168223
CCTV17,http://222.134.19.49:8090/673168256
CCTV4欧洲,http://222.134.19.49:8090/608807419
CCTV4美洲,http://222.134.19.49:8090/608807416
CGTN外语纪录,http://222.134.19.49:8090/609006487
CGTN阿拉伯语,http://222.134.19.49:8090/609154345
CGTN西班牙语,http://222.134.19.49:8090/609006450
CGTN法语,http://222.134.19.49:8090/609006476
CGTN俄语,http://222.134.19.49:8090/609006446
老故事,http://222.134.19.49:8090/884121956
发现之旅,http://222.134.19.49:8090/624878970
中学生,http://222.134.19.49:8090/708869532
CGTN,http://222.134.19.49:8090/609017205
赛事最经典,http://222.134.19.49:8090/646596895
体坛名栏汇,http://222.134.19.49:8090/629943305
四海钓鱼,http://222.134.19.49:8090/637444975
陕西体育休闲频道,http://222.134.19.49:8090/956909356
24小时城市联赛轮播台,http://222.134.19.49:8090/915512915
武术世界,http://222.134.19.49:8090/958475359
快乐垂钓,http://222.134.19.49:8090/961930263
东方卫视,http://222.134.19.49:8090/651632648
江苏卫视,http://222.134.19.49:8090/623899368
广东卫视,http://222.134.19.49:8090/608831231
北京卫视,http://222.134.19.49:8090/630287636
辽宁卫视,http://222.134.19.49:8090/630291707
河北卫视,http://222.134.19.49:8090/962042070
江西卫视,http://222.134.19.49:8090/783847495
河南卫视,http://222.134.19.49:8090/790187291
陕西卫视,http://222.134.19.49:8090/738910838
大湾区卫视,http://222.134.19.49:8090/608917627
湖北卫视,http://222.134.19.49:8090/947472496
吉林卫视,http://222.134.19.49:8090/947472500
青海卫视,http://222.134.19.49:8090/947472506
东南卫视,http://222.134.19.49:8090/849116810
海南卫视,http://222.134.19.49:8090/947472502
海峡卫视,http://222.134.19.49:8090/849119120
中国农林卫视,http://222.134.19.49:8090/956904896
兵团卫视,http://222.134.19.49:8090/956923145
宁夏卫视,http://222.134.19.49:8090/738910535
重庆卫视,http://222.134.19.49:8090/738910914
三沙卫视,http://222.134.19.49:8090/961023778
凤凰中文,http://46.196.228.jiaheyy.top/ftx.php?id=fhzw#http://iptv.cqshushu.com/migu.php?pid=fhzw&token=7271f7cff0c44df20722236fef3bac8a#http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,http://46.196.228.jiaheyy.top/ftx.php?id=fhzx#http://iptv.cqshushu.com/migu.php?pid=fhzx&token=7271f7cff0c44df20722236fef3bac8a#http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
新唐人亚太台,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
Red Bull TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
唯心电视,https://5ddce30eb4b55.streamlock.net/wxtv/wxtvnow.stream/playlist.m3u8
中天新闻,http://173.208.234.146/live/ctinews.m3u8
美亚电影,http://173.208.234.146/live/mymovie.m3u8
天映频道,http://173.208.234.146/live/typd.m3u8
NOW星影台,http://173.208.234.146/live/nowxy.m3u8
NOW爆谷台,http://173.208.234.146/live/nowbg.m3u8
凤凰中文,http://cdn6.163189.xyz/163189/fhzw$6163189
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx$6163189
凤凰香港,http://cdn6.163189.xyz/163189/fhhk$6163189
TVB无线新闻台,http://cdn6.163189.xyz/163189/wxxw$6163189
TVB翡翠台,http://cdn6.163189.xyz/163189/fct$6163189
TVB明珠台,http://cdn6.163189.xyz/163189/mzt$6163189
凤凰中文,http://A/ku9/js/fhshow.js?id=fhzw$凤凰秀
凤凰资讯,http://A/ku9/js/fhshow.js?id=fhzx$凤凰秀
凤凰香港,http://A/ku9/js/fhshow.js?id=fhhk$凤凰秀
环球电视台,http://utv1.hqtvzb.com:9999/hls/world.m3u8
中视,http://220.135.241.47:8301/0.ts
华视,http://220.135.241.47:8318/0.ts
华视,http://220.135.241.47:8317/0.ts
台视,http://211.72.174.95:8112/0.ts
民视,http://211.72.174.95:8115/0.ts
公视,http://220.135.241.47:8305/0.ts
公视,http://211.72.174.95:8116/0.ts
民视新闻台,http://211.72.174.95:8117/0.ts
台视新闻,http://220.135.241.47:8314/0.ts
台视财经,http://220.135.241.47:8315/0.ts
有线18台,http://124.244.129.167:9004/0.ts
有线18台,http://qingyi.7766.org:9004/0.ts
凤凰中文,https://gxyd.484947.xyz/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1&&IASHttpSessionId=RR778520250111113355399717&ispcode=1108
凤凰资讯,https://gxyd.484947.xyz/PLTV/77777777/224/3221226324/index.m3u8?servicetype=1&&IASHttpSessionId=RR778520250111113355399717&ispcode=1108
凤凰香港,https://gxyd.484947.xyz/PLTV/77777777/224/3221226321/index.m3u8?servicetype=1&&IASHttpSessionId=RR778520250111113355399717&ispcode=1108
中視經典,http://220.135.241.47:8321/0.ts
中視菁采,http://220.135.241.47:8322/0.ts
影迷數位電影台,https://cdn12.178.indevs.in/163189/a643783ec587540e
龍華洋片,https://cdn8.163189.xyz/163189/lhyp
DreamWorks,https://cdn12.178.indevs.in/163189/10395eb942c5a9b9
MCE,https://cdn12.178.indevs.in/163189/5bda99f1c049edef
HBO(港),id=724

rihou,#genre#
⬇️港风女声⬇️,http://rihou.cc:555/tv/t
港风粤语女一,http://rihou.cc:555/tv/港风粤语女一
港风粤语女二,http://rihou.cc:555/tv/港风粤语女二
港风粤语女三,http://rihou.cc:555/tv/港风粤语女三
港风粤语女四,http://rihou.cc:555/tv/港风粤语女四
港风粤语女五,http://rihou.cc:555/tv/港风粤语女五
CCTV-01咪咕,http://42.194.148.122:1234/608807420
CCTV-02咪咕,http://42.194.148.122:1234/631780532
CCTV-03咪咕,http://42.194.148.122:1234/624878271
CCTV-04咪咕,http://42.194.148.122:1234/631780421
CCTV-05咪咕,http://42.194.148.122:1234/641886683
CCTV-5+咪咕,http://42.194.148.122:1234/641886773
CCTV-06咪咕,http://42.194.148.122:1234/624878396
CCTV-07咪咕,http://42.194.148.122:1234/673168121
CCTV-08咪咕,http://42.194.148.122:1234/624878356
CCTV-09咪咕,http://42.194.148.122:1234/673168140
CCTV-10咪咕,http://42.194.148.122:1234/624878405
CCTV-11咪咕,http://42.194.148.122:1234/667987558
CCTV-12咪咕,http://42.194.148.122:1234/673168185
CCTV-13咪咕,http://42.194.148.122:1234/608807423
CCTV-14咪咕,http://42.194.148.122:1234/624878440
CCTV-15咪咕,http://42.194.148.122:1234/673168223
CCTV-16咪咕,http://58.255.201.70:10443/tsfile/live/1001_1.m3u8
CCTV-17咪咕,http://42.194.148.122:1234/673168256
cct4欧洲咪咕,http://42.194.148.122:1234/608807419
cct4美洲咪咕,http://42.194.148.122:1234/608807416
CGTN-西咪咕,http://42.194.148.122:1234/609006450
CGTN-阿咪咕,http://42.194.148.122:1234/609154345
CGTN-法咪咕,http://42.194.148.122:1234/609006476
北京卫视咪咕,http://42.194.148.122:1234/630287636
东方卫视咪咕,http://42.194.148.122:1234/651632648
浙江卫视咪咕,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视咪咕,http://42.194.148.122:1234/623899368
湖南卫视咪咕,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视咪咕,http://42.194.148.122:1234/608831231
深圳卫视咪咕,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视咪咕,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视咪咕,http://42.194.148.122:1234/790187291
江西卫视咪咕,http://42.194.148.122:1234/783847495
湖北卫视咪咕,http://42.194.148.122:1234/947472496
海南卫视咪咕,http://42.194.148.122:1234/947472502
陕西卫视咪咕,http://42.194.148.122:1234/738910838
兵团卫视咪咕,http://42.194.148.122:1234/956923145
黑龙江视咪咕,http://42.194.148.122:1234/738906901
Plus综合Pdtv,http://rihou.cc:555/tv/[Pd]Plus综合
凤凰中文Pdtv,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯Pdtv,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港Pdtv,http://rihou.cc:555/tv/[Pd]凤凰香港
有线新闻Pdtv,http://rihou.cc:555/tv/[Pd]有线新闻
有线综合Pdtv,http://rihou.cc:555/tv/[Pd]有线综合
有线亚剧Pdtv,http://rihou.cc:555/tv/[Pd]有线亚剧
无线新闻Pdtv,http://rihou.cc:555/tv/[Pd]无线新闻
无线翡翠Pdtv,http://rihou.cc:555/tv/[Pd]无线翡翠
无线翡翠4Ktv,http://rihou.cc:555/tv/[Pd]无线翡4K
无线华丽Pdtv,http://rihou.cc:555/tv/[Pd]无线华丽
无线明珠Pdtv,http://rihou.cc:555/tv/[Pd]无线明珠
无线翡剧Pdtv,http://rihou.cc:555/tv/[Pd]无线翡剧
无线娱乐Pdtv,http://rihou.cc:555/tv/[Pd]无线娱乐|
无线娱乐Pdtv,http://rihou.cc:555/tv/[Pd]无线娱乐
无线星河Pdtv,http://rihou.cc:555/tv/[Pd]无线星河
无线经典Pdtv,http://rihou.cc:555/tv/[Pd]无线经典
无线功夫Pdtv,http://rihou.cc:555/tv/[Pd]无线功夫
澳视澳门Pdtv,http://rihou.cc:555/tv/[Pd]澳视澳门
澳视卫星Pdtv,http://rihou.cc:555/tv/[Pd]澳视卫星
澳门体育Pdtv,http://rihou.cc:555/tv/[Pd]澳门体育
澳门综艺Pdtv,http://rihou.cc:555/tv/[Pd]澳门综艺
澳门莲花Pdtv,http://rihou.cc:555/tv/[Pd]澳门莲花
央视综合Pdtv,http://rihou.cc:555/tv/[Pd]央视综合
重温经典Pdtv,http://rihou.cc:555/tv/[Pd]重温经典
龙华电影Pdtv,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典Pdtv,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像Pdtv,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩Pdtv,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华戏剧Pdtv,http://rihou.cc:555/tv/[Pd]龙华戏剧
八度空间Pdtv,http://rihou.cc:555/tv/[Pd]八度空间
CHU综合Pdtv,http://rihou.cc:555/tv/[Pd]CHU综合
CH5综合Pdtv,http://rihou.cc:555/tv/[Pd]CH5综合
CH8综合Pdtv,http://rihou.cc:555/tv/[Pd]CH8综合
astroaodPdtv,http://rihou.cc:555/tv/[Pd]astroaod
Plus综合双语,https://o11.163189.xyz/stream/tvb/tvbp/
无线翡翠4k音,https://o11.163189.xyz/stream/tvb/fct4k/
无线华丽双语,https://o11.163189.xyz/stream/live/hlt/
无线星河双语,https://o11.163189.xyz/stream/live/tvbxh/
无线千禧单粤,https://o11.163189.xyz/stream/live/tvbc/
astroaod双语,https://o11.163189.xyz/stream/live/aod/
astroaec双语,https://o11.163189.xyz/stream/live/aec/
astroiqiyi单国,https://o11.163189.xyz/stream/live/iqiyi/
astro欢喜双语,https://o11.163189.xyz/stream/live/hxt/
粤语戏曲欣赏,http://rihou.cc:555/tv/[Uk]无线戏曲
粤语戏曲欣赏,http://rihou.cc:555/tv/[Us]无线戏曲
粤语长片欣赏,http://rihou.cc:555/tv/[Uk]无线粤片
粤语长片欣赏,http://rihou.cc:555/tv/[Us]无线粤片
广东珠江欣赏,http://rihou.cc:555/tv/[At|]广东珠江
广东珠江欣赏,http://rihou.cc:555/tv/[Cx]广东珠江
广东珠江欣赏,http://rihou.cc:555/tv/[AtI]广东珠江
⬇️特闽新闻⬇️,http://rihou.cc:555/tv/v
有线新闻欣赏,http://rihou.cc:555/tv/[Mt]有线新闻
有线新闻欣赏,http://rihou.cc:555/tv/[Hv]有线新闻
有线新闻欣赏,http://rihou.cc:555/tv/[FY]有线新闻
有线新闻欣赏,http://rihou.cc:555/tv/[Hk]有线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[Mt]无线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[Hk]无线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[SZ]无线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[Bx]无线新闻
Now新闻欣赏,http://rihou.cc:555/tv/[Cx]Now新闻
Now新闻欣赏,http://rihou.cc:555/tv/[Hk]Now新闻
Now新闻欣赏,http://rihou.cc:555/tv/[Mt]Now新闻
中天新闻欣赏,http://rihou.cc:555/tv/[SZ]中天新闻
中天新闻欣赏,rtmp://221.4.216.91/live/332123-ztxw
中天新闻欣赏,http://rihou.cc:555/tv/[Hv]中天新聞
中天新闻欣赏,http://rihou.cc:555/tv/[Us]中天新闻
中天新闻欣赏,http://rihou.cc:555/tv/[Bx]中天新闻
寰宇新闻欣赏,http://rihou.cc:555/tv/[Hk]寰宇新闻
东森新闻欣赏,http://rihou.cc:555/tv/[Hk]东森新闻
中视新闻欣赏,http://rihou.cc:555/tv/[Hk]中视新闻
民视新闻欣赏,http://rihou.cc:555/tv/[Hk]民视新聞
民视新闻欣赏,http://rihou.cc:555/tv/[Hk]民视新闻
台视新闻欣赏,http://rihou.cc:555/tv/[Hk]台视新闻
年代新闻欣赏,http://rihou.cc:555/tv/[Hk]年代新闻
非凡新闻欣赏,http://rihou.cc:555/tv/[Hk]非凡新闻
闽镜新闻欣赏,http://rihou.cc:555/tv/[Hk]闽镜新闻
闽壹新闻欣赏,http://rihou.cc:555/tv/[Hk]闽壹新闻
tvbS新闻欣赏,http://rihou.cc:555/tv/[FY]tvbS新闻
tvbS闽南欣赏,http://rihou.cc:555/tv/[Hv]tvbS闽南
凤凰中文欣赏,http://rihou.cc:555/tv/[Bx]凤凰中文
凤凰资讯欣赏,http://rihou.cc:555/tv/[Bx]凤凰资讯
凤凰香港欣赏,http://rihou.cc:555/tv/[Bx]凤凰香港
pₒₚc电影欣赏,http://rihou.cc:555/tv/[Hv]pₒₚc电影
pₒₚc电影欣赏,http://rihou.cc:555/tv/[Bx]pₒₚc电影
cm+电影欣赏,http://rihou.cc:555/tv/[Hv]cm电影
Now星影国赏,http://rihou.cc:555/tv/[Hv]Now星影
Now星影粤赏,http://rihou.cc:555/tv/[Bx]Now星影
Now爆谷国赏,http://rihou.cc:555/tv/[Hv]Now爆谷
Now爆谷粤赏,http://rihou.cc:555/tv/[Bx]Now爆谷
东森电影欣赏,http://rihou.cc:555/tv/[Hk]东森电影
纬来电影欣赏,http://rihou.cc:555/tv/[Hk]纬来电影
好莱电影欣赏,http://rihou.cc:555/tv/[Hk]好莱电影
龙祥电影欣赏,http://rihou.cc:555/tv/[Hk]龙祥电影
美亚电影粤赏,http://rihou.cc:555/tv/[Hv]美亚电影
美亚电影国赏,http://rihou.cc:555/tv/[Hv]美亚电影|
美亚电影闽赏,http://rihou.cc:555/tv/[Bx]美亚电影
天映电影欣赏,http://rihou.cc:555/tv/[Hk]天映电影
天映频道欣赏,http://rihou.cc:555/tv/[Hk]天映频道
天映经典欣赏,http://rihou.cc:555/tv/[Hk]天映经典
邵氏电影欣赏,http://rihou.cc:555/tv/[FY]邵氏电影
邵氏武侠欣赏,http://rihou.cc:555/tv/[FY]邵氏武侠
邵氏动作欣赏,http://rihou.cc:555/tv/[FY]邵氏动作
邵氏喜剧欣赏,http://rihou.cc:555/tv/[FY]邵氏喜剧
Plus综合欣赏,http://rihou.cc:555/tv/[Mt]Plus综合
Plus综合欣赏,http://rihou.cc:555/tv/[Bx]Plus综合
有线综合欣赏,http://rihou.cc:555/tv/[Mt]有线综合
有线综合欣赏,http://rihou.cc:555/tv/[Cx]有线综合
有线赛讯欣赏,http://rihou.cc:555/tv/[Mt]有线赛讯
无线翡翠欣赏,http://rihou.cc:555/tv/[Mt]无线翡翠
无线翡翠欣赏,http://rihou.cc:555/tv/[Bx]无线翡翠
无线翡翠欣赏,http://rihou.cc:555/tv/[SZ]无线翡翠
无线华丽国赏,http://rihou.cc:555/tv/[FY]无线华丽
无线明珠欣赏,http://rihou.cc:555/tv/[Mt]无线明珠
无线明珠欣赏,http://rihou.cc:555/tv/[Bx]无线明珠
无线翡剧欣赏,http://rihou.cc:555/tv/[Hv]无线翡剧
无线明剧欣赏,http://rihou.cc:555/tv/[Hv]无线明剧
无线星河国赏,http://rihou.cc:555/tv/[Hv]无线星河
无线功夫国赏,http://rihou.cc:555/tv/[Hv]无线功夫
无线千禧欣赏,http://rihou.cc:555/tv/[Bx]无线千禧
无线生活欣赏,http://rihou.cc:555/tv/[Hv]无线生活
无线娱乐欣赏,http://rihou.cc:555/tv/[PL]无线娱乐
无线赛马欣赏,http://rihou.cc:555/tv/[Bx]无线赛马
无线奖门欣赏,http://rihou.cc:555/tv/[Hk]无线奖门
无线金曲欣赏,http://rihou.cc:555/tv/[Hk]无线金曲
黄金翡翠欣赏,http://rihou.cc:555/tv/[Hk]黄金翡翠
黄金华剧欣赏,http://rihou.cc:555/tv/[Hv]黄金华剧
HUB娱家欣赏,http://rihou.cc:555/tv/[Hk]HUB娱家
HUB都会欣赏,http://rihou.cc:555/tv/[Hk]HUB都会
Now华剧欣赏,http://rihou.cc:555/tv/[Hv]Now华剧
Now剧集欣赏,http://rihou.cc:555/tv/[Hv]Now剧集
Now紫金欣赏,http://rihou.cc:555/tv/[Hv]Now紫金
Now财经欣赏,http://rihou.cc:555/tv/[Mt]Now财经
Now直播欣赏,http://rihou.cc:555/tv/[Mt]Now直播
Now英超欣赏,http://rihou.cc:555/tv/[Hk]Now英超
Now英超壹赏,http://rihou.cc:555/tv/[XS]Now英超
Now英超贰赏,http://rihou.cc:555/tv/[xsI]Now英超
Now体育壹赏,http://rihou.cc:555/tv/[XS]Now体育
Now体育欣赏,http://rihou.cc:555/tv/[Mt]Now体育
无线体育欣赏,http://rihou.cc:555/tv/[Hk]无线体育
纬来体育欣赏,http://rihou.cc:555/tv/[Hk]纬来体育
VIUTV'壹欣赏,http://rihou.cc:555/tv/[Mt]VIUTV壹
VIUTV'贰欣赏,http://rihou.cc:555/tv/[Mt]VIUTV贰
VIUTV'粤欣赏,http://rihou.cc:555/tv/[Mt]VIUTV粤
VIUTV'粤欣赏,http://rihou.cc:555/tv/[Cx]VIUTV粤
VIUTV'英欣赏,http://rihou.cc:555/tv/[Mt]VIUTV英
RTHK-31欣赏,http://rihou.cc:555/tv/[Mt]RTHK-31
RTHK-31欣赏,http://rihou.cc:555/tv/[Cx]RTHK-31
RTHK-32欣赏,http://rihou.cc:555/tv/[Cx]RTHK-32
wwe格斗欣赏,http://rihou.cc:555/tv/[FY]wwe格斗
广东新闻欣赏,http://rihou.cc:555/tv/[AtI]广东新闻
广东民生欣赏,http://rihou.cc:555/tv/[AtI]广东民生
广东湾区欣赏,http://rihou.cc:555/tv/[AtI]广东湾区
广东影视欣赏,http://rihou.cc:555/tv/[AtI]广东影视
广东经济欣赏,http://rihou.cc:555/tv/[AtI]广东经济
广东卫视欣赏,http://rihou.cc:555/tv/[AtI]广东卫视
广东新闻欣赏,http://rihou.cc:555/tv/[At|]广东新闻
广东民生欣赏,http://rihou.cc:555/tv/[At|]广东民生
广东湾区欣赏,http://rihou.cc:555/tv/[At|]广东湾区
广东影视欣赏,http://rihou.cc:555/tv/[At|]广东影视
广州综合欣赏,http://rihou.cc:555/tv/[Cx]广州综合
广州新闻欣赏,http://rihou.cc:555/tv/[Cx]广州新闻
广州南国欣赏,http://rihou.cc:555/tv/[Cx]广州南国
全运开幕翡翠,http://rihou.cc:555/tv/[mv]开幕翡翠
全运开幕咪咕,http://rihou.cc:555/tv/[mv]开幕咪咕
全运闭幕咪咕,http://rihou.cc:555/tv/[mv]闭幕咪咕
万辉翡翠台庆,http://rihou.cc:555/tv/[mv]翡翠台庆
万辉走红地毯,http://rihou.cc:555/tv/[mv]走红地毯
万辉颁奖典礼,http://rihou.cc:555/tv/[mv]颁奖典礼
万辉礼红地毯,http://rihou.cc:555/tv/[mv]礼红地毯
马年粤语贺岁,http://rihou.cc:555/tv/[mv]粤语贺岁
马年国语贺岁,http://rihou.cc:555/tv/[mv]国语贺岁
马年串烧贺岁,http://rihou.cc:555/tv/[mv]串烧贺岁
马年港星贺岁,http://rihou.cc:555/tv/[mv]港星贺岁
寻秦记电影粤,http://rihou.cc:555/tv/[mv]寻秦记粤
广东珠江频道,http://m.061899.xyz/mg/gdzj
广东民生频道,http://m.061899.xyz/mg/gdms
广东新闻频道,http://m.061899.xyz/mg/gdxw
广东影视频道,http://m.061899.xyz/mg/gdys
广东湾区频道,http://m.061899.xyz/mg/dwqws
凤凰电影频道,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
凤凰电影频道,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
星空电影频道,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
星空音乐频道,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
星空卫视频道,http://xhyx.gz.cn:1698/hls/35/index.m3u8
星空卫视频道,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
亚洲卫视频道,http://rihou.cc:555/tv/NTD
香港卫视频道,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港C+_-频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
重温经典频道,http://m.061899.xyz/mg/cwjd
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
澳门莲花频道,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
澳视葡语频道,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯频道,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac频道,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
番薯综合频道,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
tvbs闽南频道,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧频道,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐频道,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩频道,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频道,http://61.221.215.25:8800/hls/57/index.m3u8
民视闽南频道,rtmp://f13h.mine.nu/sat/tv051
中视闽南频道,rtmp://f13h.mine.nu/sat/tv091
华视闽南频道,rtmp://f13h.mine.nu/sat/tv111
台视闽南频道,rtmp://f13h.mine.nu/sat/tv071
