smt,#genre#
CCTV8,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=POyEco&tk=nG4msMdopWoj
CCTV9,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OEDTiX&tk=nG4msMdopWoj
CCTV10,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=djvhgF&tk=nG4msMdopWoj
CCTV11,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=8xPNq6&tk=nG4msMdopWoj
CCTV12,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gpr9HM&tk=nG4msMdopWoj
CCTV13,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=njpo7Y&tk=nG4msMdopWoj
CCTV14,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=V42uCs&tk=nG4msMdopWoj
CCTV15,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nERboE&tk=nG4msMdopWoj
CCTV16,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nuUnoQ&tk=nG4msMdopWoj
广西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=4S3S2g&tk=nG4msMdopWoj
海南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=KyzpLg&tk=nG4msMdopWoj
河南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CCOs3o&tk=nG4msMdopWoj
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gqEfEz&tk=nG4msMdopWoj
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=o2R5At&tk=nG4msMdopWoj
怀旧剧场,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=8ZMh2q&tk=nG4msMdopWoj
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=X8903V&tk=nG4msMdopWoj
数字电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vGXSHC&tk=nG4msMdopWoj
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XM7OKp&tk=nG4msMdopWoj
四川卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=7ClKe7&tk=nG4msMdopWoj
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=uHR4q5&tk=nG4msMdopWoj
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dA4AJP&tk=nG4msMdopWoj
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=aPPqmM&tk=nG4msMdopWoj
东方卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=y0Q4hr&tk=nG4msMdopWoj
北京卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ibBjeZ&tk=nG4msMdopWoj
江西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=cAPAHH&tk=nG4msMdopWoj
山东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=iafsbd&tk=nG4msMdopWoj
安徽卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QQa2FI&tk=nG4msMdopWoj
天津卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3Fj8PH&tk=nG4msMdopWoj
贵州卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5TtaU1&tk=nG4msMdopWoj
河北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Pn8XFq&tk=nG4msMdopWoj
山西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=PJ2n4i&tk=nG4msMdopWoj
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=WSgjnM&tk=nG4msMdopWoj
内蒙古卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=jqcBNP&tk=nG4msMdopWoj
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ARlrrX&tk=nG4msMdopWoj
西藏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gGbFvn&tk=nG4msMdopWoj
新疆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pT8U07&tk=nG4msMdopWoj
云南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vMh2EG&tk=nG4msMdopWoj
宁夏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yKpVJ3&tk=nG4msMdopWoj
甘肃卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Pr8gPU&tk=nG4msMdopWoj
东南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3Ts0x2&tk=nG4msMdopWoj
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=UGRGsB&tk=nG4msMdopWoj
广东大湾区,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=1Z8ybU&tk=nG4msMdopWoj
广东民生,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=waKRhS&tk=nG4msMdopWoj
广东戏曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=53mUTt&tk=nG4msMdopWoj
广东少儿,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2N0MBR&tk=nG4msMdopWoj
广东体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3pm9QN&tk=nG4msMdopWoj
广东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZMrkvu&tk=nG4msMdopWoj
广东新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=m7GiF5&tk=nG4msMdopWoj
广东影视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TFSaRp&tk=nG4msMdopWoj
广东珠江,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=iPrtJt&tk=nG4msMdopWoj
广东经济,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LbmjBS&tk=nG4msMdopWoj
深圳都市,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=0JDnSE&tk=nG4msMdopWoj
汕头新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YqO5JS&tk=nG4msMdopWoj
汕头经济生活,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TaQQMS&tk=nG4msMdopWoj
CHC家庭电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=aRmQz1&tk=nG4msMdopWoj
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QIxHLk&tk=nG4msMdopWoj
潮州综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=EKuV8E&tk=nG4msMdopWoj
揭阳综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Cw9an3&tk=nG4msMdopWoj
CCTV1综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=UhfzXV&tk=nG4msMdopWoj
CCTV2财经,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XY2ZCg&tk=nG4msMdopWoj
CCTV3综艺,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wyFPYn&tk=nG4msMdopWoj
CCTV4中文国际,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=d2gJSn&tk=nG4msMdopWoj
CCTV5体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3lOmxI&tk=nG4msMdopWoj
CCTV5+体育赛事,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6EFBXw&tk=nG4msMdopWoj
CCTV6电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YNIHpR&tk=nG4msMdopWoj
CCTV7国防军事,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=M63xi5&tk=nG4msMdopWoj
CCTV8电视剧,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ugQVFA&tk=nG4msMdopWoj
CCTV9纪录,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zCPPcf&tk=nG4msMdopWoj
CCTV10科教,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=mxwnkn&tk=nG4msMdopWoj
CCTV11戏曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Nsmlhf&tk=nG4msMdopWoj
CCTV12社会与法,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=N78Evc&tk=nG4msMdopWoj
CCTV13新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OYPUHE&tk=nG4msMdopWoj
CCTV14少儿,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FRHnmv&tk=nG4msMdopWoj
CCTV15音乐,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=lXfSG3&tk=nG4msMdopWoj
CCTV17农业农村,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ncWN8J&tk=nG4msMdopWoj
CCTV4欧洲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Y3ahp7&tk=nG4msMdopWoj
CCTV4美洲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=IzlUgH&tk=nG4msMdopWoj
CGTN外语纪录,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=V3dHVz&tk=nG4msMdopWoj
CGTN阿拉伯语,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=u535zQ&tk=nG4msMdopWoj
CGTN西班牙语,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Au0IHo&tk=nG4msMdopWoj
CGTN法语,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QHshMX&tk=nG4msMdopWoj
CGTN俄语,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=IoGKzI&tk=nG4msMdopWoj
老故事,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=BxT3wj&tk=nG4msMdopWoj
发现之旅,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=bU9yOh&tk=nG4msMdopWoj
中学生,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=UgeOKD&tk=nG4msMdopWoj
CGTN,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5Etwx1&tk=nG4msMdopWoj
东方卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=EGrJqZ&tk=nG4msMdopWoj
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZruANB&tk=nG4msMdopWoj
广东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HQ365T&tk=nG4msMdopWoj
北京卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=VdZFI0&tk=nG4msMdopWoj
辽宁卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XKJgxX&tk=nG4msMdopWoj
河北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rt17XH&tk=nG4msMdopWoj
江西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ev7ZLt&tk=nG4msMdopWoj
河南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9tM0Gr&tk=nG4msMdopWoj
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=68yhvB&tk=nG4msMdopWoj
大湾区卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=V4H9r3&tk=nG4msMdopWoj
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yGWFeT&tk=nG4msMdopWoj
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TwLAV2&tk=nG4msMdopWoj
青海卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Sk2mJM&tk=nG4msMdopWoj
东南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Cvze01&tk=nG4msMdopWoj
海南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=uF80Na&tk=nG4msMdopWoj
海峡卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Lgbhiz&tk=nG4msMdopWoj
中国农林卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=e7sOXf&tk=nG4msMdopWoj
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dhMWSh&tk=nG4msMdopWoj
宁夏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=by2iKY&tk=nG4msMdopWoj
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=unWI5c&tk=nG4msMdopWoj
三沙卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=BbCkSC&tk=nG4msMdopWoj
上海新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=JXCGf3&tk=nG4msMdopWoj
上视东方影视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=iKGcjb&tk=nG4msMdopWoj
上海第一财经,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MCJo3i&tk=nG4msMdopWoj
南京新闻综合频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OwbK33&tk=nG4msMdopWoj
南京教科频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2IAuzz&tk=nG4msMdopWoj
南京十八频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Pc8pud&tk=nG4msMdopWoj
体育休闲频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=UPxKCt&tk=nG4msMdopWoj
江苏城市频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HJiIeE&tk=nG4msMdopWoj
江苏国际,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=sRBeJk&tk=nG4msMdopWoj
江苏教育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=hvXEM4&tk=nG4msMdopWoj
江苏影视频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=0awPfK&tk=nG4msMdopWoj
江苏综艺频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wTDWoq&tk=nG4msMdopWoj
公共新闻频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wv47vQ&tk=nG4msMdopWoj
盐城新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Mtl55W&tk=nG4msMdopWoj
淮安新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=N4VXGS&tk=nG4msMdopWoj
泰州新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GIoC4u&tk=nG4msMdopWoj
连云港新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3GYGCG&tk=nG4msMdopWoj
宿迁新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=R3fjOu&tk=nG4msMdopWoj
徐州新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=w1nZzA&tk=nG4msMdopWoj
优漫卡通频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=o572gu&tk=nG4msMdopWoj
江阴新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=hzqjvu&tk=nG4msMdopWoj
南通新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=BRwvpy&tk=nG4msMdopWoj
宜兴新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wJFsLO&tk=nG4msMdopWoj
溧水新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=8cPZGy&tk=nG4msMdopWoj
